"Exit|Fast|Running|Stable|Valid","109.70.100.7","443"
"Fast|Running|Stable|V2Dir|Valid","150.230.39.121","443"
"Fast|Guard|Running|Stable|V2Dir|Valid","95.214.53.20","9000"
"Fast|Running|V2Dir|Valid","193.234.55.85","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","77.68.94.106","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","154.57.3.225","9001"
"Fast|Guard|Running|Stable|V2Dir|Valid","45.134.225.95","9100"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","94.23.247.42","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.220.100.245","9000"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","23.82.136.14","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","93.90.194.106","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","51.68.155.201","9001"
"Running|V2Dir|Valid","187.99.76.155","33333"
"Fast|HSDir|Running|Stable|V2Dir|Valid","81.16.19.39","9001"
"Fast|Running|Valid","91.121.147.65","9001"
"Exit|Fast|Running|Stable|Valid","185.100.87.250","9002"
"Fast|Guard|Running|Stable|V2Dir|Valid","5.183.170.183","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","93.99.255.254","8443"
"Fast|Running|Stable|Valid","95.216.195.161","9001"
"Running|V2Dir|Valid","198.54.135.147","55676"
"Fast|Guard|Running|Stable|V2Dir|Valid","45.134.225.96","9000"
"Fast|Running|Stable|Valid","88.99.104.83","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.129.62.63","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","158.174.11.156","9001"
"Fast|HSDir|Running|Stable|V2Dir|Valid","94.16.114.231","9001"
"Fast|HSDir|Running|Stable|V2Dir|Valid","85.91.153.163","9001"
"Fast|Running|V2Dir|Valid","185.177.151.42","443"
"Running|Valid","185.231.233.214","49972"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","45.138.16.94","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","146.59.233.33","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","78.138.98.42","9001"
"Fast|Running|Valid","89.147.108.32","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","80.66.135.123","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.56.171.94","9001"
"Fast|Running|V2Dir|Valid","185.195.24.92","6533"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","212.227.165.251","443"
"Running|Stable|V2Dir|Valid","5.255.88.102","36488"
"Fast|HSDir|Running|Stable|V2Dir|Valid","176.58.121.159","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","176.9.40.67","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.112.156.72","443"
"Exit|Fast|Running|Stable|Valid","5.255.101.131","9001"
"Fast|HSDir|Running|Stable|V2Dir|Valid","195.123.212.113","1357"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","195.176.3.20","8443"
"Fast|Running|Valid","23.94.123.244","2443"
"Exit|Fast|Running|V2Dir|Valid","79.137.202.181","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","2.56.98.134","443"
"Fast|Running|V2Dir|Valid","174.21.188.79","110"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","51.15.182.104","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","89.58.5.0","587"
"Fast|Running|Stable|V2Dir|Valid","80.129.20.206","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","95.214.52.156","8179"
"Fast|HSDir|Running|Stable|V2Dir|Valid","45.9.168.191","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","54.39.234.91","9002"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.207.107.98","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","5.9.14.30","143"
"BadExit|Fast|MiddleOnly|Running|Stable|Valid","193.111.248.88","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","31.14.252.98","9001"
"Fast|HSDir|Running|Stable|V2Dir|Valid","50.24.143.253","9001"
"Exit|Running|V2Dir|Valid","46.183.219.162","9001"
